frame_id,x1,y1,x2,y2,confidence,class_id,class_name
126,476,485,764,712,0.4009981155395508,13,bench
127,960,130,1188,372,0.8541155457496643,8,boat
128,957,123,1179,357,0.6695009469985962,8,boat
128,457,435,787,712,0.27677059173583984,25,umbrella
129,958,116,1172,346,0.6163316369056702,8,boat
129,453,428,785,713,0.2535895109176636,13,bench
130,955,110,1166,337,0.6709279417991638,8,boat
131,952,103,1158,326,0.8890368938446045,8,boat
131,159,528,297,677,0.3187245726585388,0,person
132,947,92,1148,306,0.6751493215560913,8,boat
133,943,86,1144,295,0.5280494093894958,8,boat
133,463,365,807,715,0.29147908091545105,8,boat
134,942,81,1138,264,0.3737305998802185,8,boat
134,942,81,1140,279,0.278121680021286,2,car
134,941,81,1139,265,0.27121874690055847,7,truck
135,944,78,1134,274,0.3132629692554474,2,car
136,214,457,307,589,0.46868979930877686,0,person
136,940,70,1129,261,0.39033788442611694,8,boat
137,942,60,1117,244,0.37867364287376404,8,boat
140,540,289,818,660,0.40417370200157166,8,boat
142,294,372,367,481,0.44939401745796204,0,person
144,572,251,827,562,0.40424925088882446,7,truck
144,573,249,951,570,0.29964548349380493,7,truck
147,601,222,838,540,0.3297494053840637,7,truck
148,605,216,851,499,0.393977552652359,7,truck
149,609,209,934,501,0.30618494749069214,7,truck
150,614,203,853,484,0.4463709890842438,8,boat
150,615,202,851,481,0.33561936020851135,7,truck
151,621,198,855,466,0.3910790681838989,7,truck
155,401,252,482,400,0.3538687229156494,9,traffic light
161,442,204,513,342,0.40793973207473755,9,traffic light
171,0,546,218,635,0.37901222705841064,25,umbrella
173,0,511,227,713,0.5754438042640686,25,umbrella
174,0,499,236,714,0.5705364942550659,25,umbrella
175,0,488,246,716,0.7227771878242493,25,umbrella
176,8,475,237,556,0.568720817565918,25,umbrella
176,0,526,181,716,0.36648663878440857,25,umbrella
177,33,453,260,532,0.39935654401779175,25,umbrella
178,42,442,259,504,0.37822920083999634,25,umbrella
178,1056,294,1279,704,0.37047645449638367,7,truck
179,51,433,267,496,0.32078102231025696,25,umbrella
180,58,422,280,486,0.44126683473587036,25,umbrella
181,1051,268,1279,639,0.5355273485183716,7,truck
181,74,412,286,471,0.2751135528087616,25,umbrella
182,1042,252,1279,630,0.36521896719932556,7,truck
182,1042,252,1279,634,0.29882338643074036,5,bus
189,4,328,346,627,0.6311148405075073,8,boat
190,19,322,356,606,0.6116058230400085,8,boat
190,1036,207,1280,435,0.3584745228290558,7,truck
190,1021,187,1279,437,0.34379661083221436,5,bus
191,28,313,358,569,0.5295366644859314,8,boat
192,48,298,366,558,0.6324887871742249,8,boat
193,57,294,368,538,0.5774614214897156,8,boat
194,65,288,372,541,0.3349073529243469,8,boat
194,1058,172,1255,373,0.27314943075180054,8,boat
196,1002,129,1247,373,0.26743432879447937,74,clock
197,1001,124,1235,368,0.477476567029953,8,boat
198,1032,138,1229,323,0.3928235173225403,2,car
199,1025,136,1223,341,0.39514315128326416,8,boat
199,112,249,386,498,0.318582683801651,8,boat
200,119,241,388,486,0.4362877309322357,8,boat
200,119,242,389,488,0.3349205255508423,33,kite
200,1016,114,1215,321,0.2531304359436035,8,boat
201,126,236,388,474,0.4296380281448364,8,boat
206,984,63,1182,264,0.4947918951511383,8,boat
207,978,52,1174,243,0.3558000922203064,7,truck
207,739,218,1013,685,0.3142852187156677,8,boat
207,979,52,1173,244,0.265722393989563,8,boat
208,737,223,991,683,0.4091375768184662,8,boat
208,177,194,398,401,0.3295002579689026,8,boat
209,739,225,989,667,0.430941641330719,8,boat
209,977,38,1164,229,0.3968125283718109,8,boat
210,744,220,990,620,0.7792955636978149,8,boat
210,975,35,1160,201,0.29658496379852295,7,truck
211,740,220,999,621,0.6774564981460571,8,boat
211,974,30,1156,216,0.4681227505207062,8,boat
212,744,223,1009,627,0.4532701075077057,8,boat
212,971,20,1150,202,0.31106036901474,8,boat
218,218,154,393,324,0.37837955355644226,32,sports ball
221,363,470,662,712,0.338666170835495,31,snowboard
225,370,417,672,714,0.4454343616962433,31,snowboard
226,371,408,675,714,0.5514822006225586,31,snowboard
227,394,388,682,714,0.5237648487091064,31,snowboard
227,0,121,464,713,0.2914435565471649,0,person
228,2,120,468,713,0.46588873863220215,0,person
228,398,379,685,713,0.43392127752304077,31,snowboard
228,762,164,950,426,0.32425421476364136,74,clock
232,2,454,378,713,0.3931330144405365,0,person
235,32,429,403,714,0.27784520387649536,25,umbrella
236,41,416,404,714,0.5132020115852356,25,umbrella
238,72,397,424,713,0.45186948776245117,31,snowboard
239,86,388,424,710,0.7941706776618958,31,snowboard
240,91,379,427,690,0.8110485076904297,31,snowboard
241,104,373,430,703,0.8407490253448486,31,snowboard
242,456,131,514,232,0.47119981050491333,74,clock
248,151,80,343,201,0.2795049846172333,2,car
249,144,78,343,201,0.39308077096939087,2,car
250,201,302,481,536,0.2777371108531952,4,airplane
251,208,296,472,528,0.29627278447151184,2,car
252,222,287,494,510,0.31689417362213135,8,boat
253,118,72,329,192,0.5986148118972778,2,car
253,230,282,500,503,0.3966248631477356,8,boat
253,231,282,501,504,0.2753200829029083,7,truck
254,114,71,324,192,0.5585363507270813,2,car
254,236,277,497,494,0.26207512617111206,8,boat
255,110,71,322,192,0.4577127695083618,2,car
256,107,70,322,183,0.725529670715332,2,car
257,101,69,316,180,0.47135812044143677,2,car
258,92,68,309,179,0.5651240944862366,2,car
258,268,252,520,460,0.4608881175518036,8,boat
259,88,67,308,180,0.29932141304016113,2,car
260,536,436,624,636,0.7210503220558167,0,person
261,288,238,530,447,0.6042898297309875,74,clock
261,71,65,302,175,0.5128076076507568,2,car
261,455,63,513,174,0.42324408888816833,74,clock
261,428,255,502,331,0.306830495595932,74,clock
262,293,233,534,443,0.3104107975959778,8,boat
262,293,232,531,442,0.28511956334114075,74,clock
263,303,224,539,432,0.6985863447189331,74,clock
263,567,441,616,495,0.26196929812431335,74,clock
264,309,219,535,428,0.3656279146671295,74,clock
265,564,371,643,553,0.5164808034896851,0,person
265,60,52,276,180,0.26176953315734863,2,car
266,591,119,751,292,0.6474742889404297,74,clock
266,319,211,546,413,0.5280784964561462,74,clock
268,599,108,755,278,0.6160765290260315,74,clock
268,336,200,557,387,0.2869453728199005,74,clock
269,599,105,758,267,0.7198813557624817,74,clock
269,582,323,657,500,0.4956124722957611,0,person
269,57,42,254,171,0.39539074897766113,2,car
269,517,28,564,125,0.3710666298866272,74,clock
270,602,100,759,262,0.374302476644516,74,clock
270,55,47,249,153,0.3590715527534485,2,car
271,607,96,760,258,0.40537938475608826,74,clock
271,527,31,573,114,0.34719404578208923,74,clock
271,160,648,238,720,0.27149757742881775,0,person
272,355,181,567,365,0.6346412897109985,74,clock
272,607,93,763,252,0.6344797611236572,74,clock
273,615,85,764,245,0.7609934210777283,74,clock
273,365,173,574,350,0.4549407958984375,74,clock
274,616,81,764,236,0.313740611076355,74,clock
275,376,166,580,341,0.45914945006370544,74,clock
276,381,163,581,330,0.4946276545524597,74,clock
276,622,76,768,229,0.25733253359794617,74,clock
277,616,253,683,419,0.29533299803733826,0,person
278,765,227,943,436,0.35046878457069397,74,clock
279,398,146,586,317,0.4642685353755951,74,clock
279,768,224,940,431,0.3211585581302643,74,clock
280,403,144,590,305,0.5874274969100952,74,clock
280,768,217,944,412,0.3865455687046051,74,clock
281,766,210,945,435,0.4025576412677765,74,clock
282,411,137,598,298,0.5381898283958435,74,clock
282,767,207,931,422,0.28103336691856384,74,clock
283,418,128,604,288,0.3022236227989197,74,clock
284,646,46,779,189,0.6217780709266663,74,clock
284,770,188,940,404,0.3982146680355072,74,clock
284,284,442,401,582,0.34741029143333435,0,person
284,35,471,190,708,0.33616873621940613,0,person
285,647,42,779,187,0.46849483251571655,74,clock
285,426,122,606,279,0.3273957073688507,74,clock
288,443,109,614,255,0.54021817445755,74,clock
288,656,30,783,171,0.5396219491958618,74,clock
289,658,26,782,169,0.5577938556671143,74,clock
289,447,104,619,253,0.41892826557159424,74,clock
290,449,102,617,247,0.669326901435852,74,clock
290,660,24,783,164,0.42903319001197815,74,clock
291,663,21,783,160,0.3934189975261688,74,clock
291,1196,557,1279,697,0.38047096133232117,31,snowboard
292,664,17,784,154,0.3928035795688629,74,clock
292,457,96,619,237,0.35102182626724243,74,clock
293,463,87,627,230,0.5052896738052368,74,clock
293,666,13,785,150,0.46534398198127747,74,clock
293,1180,503,1279,703,0.38993799686431885,31,snowboard
299,488,69,643,201,0.4462473690509796,74,clock
300,678,3,793,124,0.5938188433647156,74,clock
300,492,65,645,195,0.5706303119659424,74,clock
301,680,2,790,117,0.3935171365737915,74,clock
301,494,62,644,194,0.35506176948547363,74,clock
302,498,59,648,186,0.3778609037399292,74,clock
303,684,1,794,106,0.7478287816047668,74,clock
